group,primary_rp,primary_addr,backup_rp,backup_addr,priority,hash_index
239.16.32.0,rp-dc2-1,10.255.0.3/32,rp-dc1-1,10.255.0.1/32,180,2
239.16.32.1,rp-dc2-1,10.255.0.3/32,rp-dc1-1,10.255.0.1/32,180,2
239.16.32.2,rp-dc2-1,10.255.0.3/32,rp-dc1-1,10.255.0.1/32,180,2
239.16.32.3,rp-dc2-1,10.255.0.3/32,rp-dc1-1,10.255.0.1/32,180,2
239.16.32.4,rp-dc1-1,10.255.0.1/32,rp-dc3-2,10.255.0.6/32,200,0
239.16.32.5,rp-dc1-1,10.255.0.1/32,rp-dc3-2,10.255.0.6/32,200,0
239.16.32.6,rp-dc1-1,10.255.0.1/32,rp-dc3-2,10.255.0.6/32,200,0
239.16.32.7,rp-dc1-1,10.255.0.1/32,rp-dc3-2,10.255.0.6/32,200,0
239.16.32.8,rp-dc3-1,10.255.0.5/32,rp-dc2-2,10.255.0.4/32,160,4
239.16.32.9,rp-dc3-1,10.255.0.5/32,rp-dc2-2,10.255.0.4/32,160,4
239.16.32.10,rp-dc3-1,10.255.0.5/32,rp-dc2-2,10.255.0.4/32,160,4
239.16.32.11,rp-dc3-1,10.255.0.5/32,rp-dc2-2,10.255.0.4/32,160,4
239.16.32.12,rp-dc2-1,10.255.0.3/32,rp-dc2-2,10.255.0.4/32,180,2
239.16.32.13,rp-dc2-1,10.255.0.3/32,rp-dc2-2,10.255.0.4/32,180,2
239.16.32.14,rp-dc2-1,10.255.0.3/32,rp-dc2-2,10.255.0.4/32,180,2
239.16.32.15,rp-dc2-1,10.255.0.3/32,rp-dc2-2,10.255.0.4/32,180,2
